category_label,category_name,universe_label,universe_name,type,name,short_description,phase_label,phase_name,url_product,url_documentation
compute,,baremetal_cloud private_cloud public_cloud,,category,Compute,Servers Virtual Machines and Containers,,,,
compute,Compute,baremetal_cloud,Baremetal Cloud,product,Dedicated servers,Physical and dedicated servers,general_avail,General availability,https://www.ovhcloud.com/fr/bare-metal/,https://docs.ovh.com
compute,Compute,baremetal_cloud,Baremetal Cloud,product,VPS,Affordable virtual servers ,general_avail,General availability,https://www.ovhcloud.com/fr/vps/,https://docs.ovh.com
compute,Compute,baremetal_cloud,Baremetal Cloud,product,Managed Baremetal,Managed hosts bundled with VMWare software,general_avail,General availability,https://www.ovhcloud.com/fr/managed-bare-metal/,https://docs.ovh.com
compute,Compute,private_cloud,Private Cloud,product,HPC for Nutanix,Preinstalled Nutanix clusters,regional_avail,Regional availability,https://www.ovhcloud.com/fr/hosted-private-cloud/nutanix/,https://docs.ovh.com
compute,Compute,private_cloud,Private Cloud,product,HPC for VMware,Managed VMware cluster as a Service,general_avail,General availability,https://www.ovhcloud.com/fr/enterprise/products/hosted-private-cloud/,https://docs.ovh.com
compute,Compute,private_cloud,Private Cloud,product,HPC for Anthos,Managed Anthos cluster as a Service,general_avail,General availability,https://www.ovhcloud.com/fr/hosted-private-cloud/anthos/,https://docs.ovh.com
compute,Compute,public_cloud,Public Cloud,product,VM instances,Virtual machines with Linux or Windows,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/compute/,https://docs.ovh.com
compute,Compute,public_cloud,Public Cloud,product,Kubernetes cluster,Managed kubernetes clusters,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/kubernetes/,https://docs.ovh.com
compute,Compute,public_cloud,Public Cloud,product,Baremetal instances,Baremetal servers with pay as you go,alpha,alpha,#,https://docs.ovh.com
storage,,baremetal_cloud private_cloud public_cloud,,category,Storage,File Block and Object storage solutions,,,,
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,Enterprise File Storage,Managed NetApp Ontap file storage,regional_avail,Regional availability,https://www.ovhcloud.com/fr/storage-solutions/enterprise-file-storage/,https://docs.ovh.com
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,NAS-HA,Managed file storage,general_avail,General availability,https://www.ovh.com/fr/nas/,https://docs.ovh.com
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,Cloud Disk Array,Managed Block Storage,general_avail,General availability,https://www.ovh.com/fr/cloud-disk-array/,https://docs.ovh.com
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,Veeam Enterprise,Backup tools powered by VeeaM technology,general_avail,General availability,https://www.ovhcloud.com/fr/storage-solutions/veeam-enterprise/,https://docs.ovh.com
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,Storage servers,Dedicated Servers with lot of storage inside,general_avail,General availability,https://www.ovhcloud.com/fr/bare-metal/storage/,https://docs.ovh.com
storage,Storage & Backups,baremetal_cloud,Baremetal Cloud,product,Backup storage,Backup space offered with Dedicated Servers,general_avail,General availability,https://www.ovhcloud.com/fr/bare-metal/backup-storage/,https://docs.ovh.com
storage,Storage & Backups,private_cloud,Private Cloud,product,Veeam for VMware,Backup tool for VMware virtual machines,general_avail,General availability,https://www.ovhcloud.com/fr/enterprise/products/hosted-private-cloud/veeam-backup-managed/,https://docs.ovh.com
storage,Storage & Backups,private_cloud,Private Cloud,product,Zerto for VMware,DRP tool for VMware,general_avail,General availability,https://www.ovhcloud.com/fr/enterprise/products/hosted-private-cloud/zerto/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Private Cloud,product,Object storage Swift,Store data with Object storage Swift technology,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/object-storage/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Public Cloud,product,Object storage High Performance,Store data with Object storage S3 technology,regional_avail,Regional availability,https://www.ovhcloud.com/fr/public-cloud/object-storage/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Public Cloud,product,Block Storage,Remote volumes of storage for your VMs,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/block-storage/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Public Cloud,product,Cloud Archive,Long-term cold storage to securely archive your data,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/cloud-archive/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Public Cloud,product,Instances backups,Daily backups for your VMs,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/instance-backup/,https://docs.ovh.com
storage,Storage & Backups,public_cloud,Public Cloud,product,Volume Snapshot,Backups for your VM volumes,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/volume-snapshot/,https://docs.ovh.com
databases,,public_cloud web_cloud,,category,Databases,Databases solutions,,,,
databases,Databases,public_cloud,Public Cloud,product,Public Cloud Relational Databases,Managed MySQL and PostgreSQL,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/databases/,https://docs.ovh.com
databases,Databases,public_cloud,Public Cloud,product,Public Cloud NoSQL Databases,Managed Redis and MongoDB Databases,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/databases/,https://docs.ovh.com
databases,Databases,public_cloud,Public Cloud,product,Public Cloud Logs Databases,Managed OpenSearch ,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/databases/,https://docs.ovh.com
databases,Databases,web_cloud,Web Cloud,product,Start SQL,Relational Databases for Web hosting offers with shared resources,regional_avail,Regional availability,https://www.ovhcloud.com/fr/web-hosting/options/,https://docs.ovh.com
databases,Databases,web_cloud,Web Cloud,product,Private SQL,Relational Databases for Web hosting offers with dedicated resoruces,regional_avail,Regional availability,https://www.ovhcloud.com/fr/web-hosting/options/private-sql/,https://docs.ovh.com
databases,Databases,web_cloud,Web Cloud,product,Web Cloud Databases,Affordable managed relational Databases for Web,regional_avail,Regional availability,https://www.ovh.com/fr/cloud-databases/,https://docs.ovh.com
analytics,,public_cloud,Public Cloud,category,Data Analytics,Explore your data at scale,,,,
analytics,Data Analytics,public_cloud,Public Cloud,product,Public Cloud Kafka,Managed Kafka Clusters,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/apache-kafka/,https://docs.ovh.com
analytics,Data Analytics,public_cloud,Public Cloud,product,Data Processing,Apache Spark jobs as a Service,regional_avail,Regional availability,https://www.ovhcloud.com/fr/public-cloud/data-processing/,https://docs.ovh.com
ai,,public_cloud,,category,AI & Machine Learning,Create and use ML models and applications,,,,
ai,AI / Machine Leanring,public_cloud,Public Cloud,product,AI Notebooks,Managed Jupyter or VSCode notebooks,beta,beta,https://www.ovhcloud.com/fr/public-cloud/ai-notebook/,https://docs.ovh.com
ai,AI / Machine Leanring,public_cloud,Public Cloud,product,AI Training,Train your models with CPU and GPU,general_avail,General availability,https://www.ovhcloud.com/fr/public-cloud/ai-training/,https://docs.ovh.com
